FeatureID,FeatureName,WTY_ClusterD Average,WTY_ClusterD Log2 Fold Change,WTY_ClusterD P-Value,WTY_ClusterCp Average,WTY_ClusterCp Log2 Fold Change,WTY_ClusterCp P-Value,WTY_ClusterC Average,WTY_ClusterC Log2 Fold Change,WTY_ClusterC P-Value,WTY_ClusterB Average,WTY_ClusterB Log2 Fold Change,WTY_ClusterB P-Value,WTY_ClusterA Average,WTY_ClusterA Log2 Fold Change,WTY_ClusterA P-Value
ENSMUSG00000057193,Slc44a2,0.660702972,0.012214493,1,0.46680549,-0.60813234,0.070995017,0.512124705,-0.392043068,0.821652448,0.454526776,-0.674330096,0.036965849,2.072457156,1.933574975,1.88E-08
ENSMUSG00000013822,Elof1,1.725099614,0.004139843,1,1.686947535,-0.038064546,1,1.270742915,-0.478020308,0.575097983,2.351100779,0.639346878,0.025922353,0.26981046,-2.765625771,2.03E-06
ENSMUSG00000038717,Atp5l,1.889652052,-0.048222868,1,2.074142786,0.133901329,0.889065501,1.882383632,-0.041207561,1,1.838159756,-0.094593546,1,2.076367453,0.11277169,1
ENSMUSG00000062270,Morf4l1,1.706400474,0.04105854,1,1.535951256,-0.159559174,0.86579505,1.737702661,0.057961724,1,1.722493735,0.053651225,1,1.705866857,0.027600078,1
ENSMUSG00000007815,Rhoa,2.844762606,-0.026473573,1,2.442586866,-0.298659172,0.494646656,2.331736699,-0.333360479,0.830082974,3.460099614,0.36716138,0.327013624,3.077403362,0.103515721,1
ENSMUSG00000069744,Psmb3,1.362336285,0.045780177,1,1.491540586,0.209560581,0.677436675,1.124530929,-0.271290119,0.94264474,1.266513869,-0.10053269,1,1.237608849,-0.117806389,1
ENSMUSG00000035530,Eif1,5.876101083,-0.015399612,1,5.809902577,-0.033981538,1,5.589737812,-0.09122026,1,6.338962942,0.134479259,0.934519791,5.420648553,-0.137136846,1
ENSMUSG00000063316,Rpl27,3.207110399,-0.043711222,1,4.017027369,0.394015742,0.244263839,3.577217858,0.142898675,1,2.633581615,-0.404750137,0.309847114,3.104775438,-0.081951759,1
ENSMUSG00000061086,Myl4,2.057528782,-0.018977435,1,2.155068897,0.070442347,1,0.105640074,-4.424931944,7.49E-16,3.378726534,1.047363082,3.23E-05,0.049856281,-5.462590044,2.21E-16
ENSMUSG00000020612,Prkar1a,0.923945319,0.019093673,1,0.799063097,-0.249061594,0.629583974,1.260791314,0.519273637,0.350037859,0.936662276,0.043037556,1,0.717539412,-0.377054821,0.952558976
ENSMUSG00000057322,Rpl38,3.76933123,-0.048547694,1,4.598642666,0.337673861,0.355224953,4.359566809,0.197872308,0.973173508,3.040156397,-0.441168439,0.244483592,4.112654366,0.10119018,1
ENSMUSG00000038462,Uqcrfs1,1.081849174,-0.004527611,1,1.18757422,0.171655342,0.781694213,0.937747031,-0.229571509,1,1.110742544,0.047127924,1,0.883727014,-0.316036533,0.943704258
ENSMUSG00000021660,Btf3,4.481145186,0.05980684,1,4.839118222,0.194980819,0.705701059,5.66628859,0.422612457,0.529719967,3.462133941,-0.431263809,0.260859013,3.761705253,-0.23102413,1
ENSMUSG00000037361,Sf3b6,1.074577286,-0.028667925,1,1.105332238,0.02848982,1,1.084724525,-0.005651029,1,1.158985156,0.122354492,0.954387933,0.871996124,-0.342870093,1
ENSMUSG00000054364,Rhob,0.439637575,0.049496181,1,0.262516407,-0.864047335,0.009086885,1.4070033,2.107059883,9.48E-12,0.265915601,-0.867664642,0.005064745,0.187694233,-1.254817524,0.060415479
ENSMUSG00000045679,Pqlc3,0.345310798,0.055435322,1,0.100664186,-2.00359188,3.89E-10,1.176585458,2.246406926,1.49E-13,0.152865143,-1.38249411,3.97E-06,0.546463939,0.773352575,0.104270465
ENSMUSG00000061477,Rps7,10.63378578,0.049200302,1,11.45597913,0.181420642,0.746191618,11.35094937,0.138977695,1,9.151274715,-0.242638705,0.683771444,9.18333138,-0.194677395,1
ENSMUSG00000060073,Psma3,0.974640767,-0.04635041,1,1.101713591,0.191642898,0.720492689,0.957650233,-0.061238397,1,0.963689763,-0.061801026,1,0.929672998,-0.105884575,1
ENSMUSG00000046157,Tmem229b,0.322040757,0.027058775,1,0.226000967,-0.607627917,0.088518662,0.140853432,-1.252157783,0.023935025,0.178148922,-1.03526868,0.000764688,1.271823944,2.400382413,1.66E-13
ENSMUSG00000041841,Rpl37,9.025659682,0.0402296,1,10.63092756,0.34684021,0.333853108,8.219257038,-0.121022008,1,6.852485201,-0.47829841,0.18903489,10.45124503,0.257479391,0.913382813
ENSMUSG00000003970,Rpl8,10.12911675,-0.047189111,1,13.18010004,0.46713147,0.138328063,9.303981562,-0.169414505,1,8.729587789,-0.319620398,0.496447476,9.717086855,-0.098792661,1
ENSMUSG00000022400,Rbx1,1.306862167,-0.022598603,1,1.17803415,-0.208339654,0.729561376,1.163571826,-0.200346588,1,1.55422583,0.324459313,0.430127725,1.218057366,-0.125416676,1
ENSMUSG00000041736,Tspo,0.931632744,0.002067334,1,0.644777139,-0.651385275,0.047870366,1.124530929,0.304895896,0.761497621,0.863717122,-0.142516871,0.954387933,1.754745564,1.021734795,0.018594688
ENSMUSG00000039637,Coro7,0.507993323,-0.047285516,1,0.403643648,-0.451252854,0.22417281,1.057166245,1.194380448,0.001037279,0.405121692,-0.459977244,0.225325894,0.609028683,0.252115672,0.839146041
ENSMUSG00000060636,Rpl35a,12.5138805,-0.036123329,1,13.52683223,0.115183095,0.934422924,13.37571745,0.079721394,1,11.47273244,-0.195930754,0.809173696,14.62841929,0.21835241,0.983241294
ENSMUSG00000098274,Rpl24,6.643596925,-0.066467605,1,7.880755684,0.266859767,0.509512487,8.384606718,0.326459081,0.71300846,5.575509079,-0.384085336,0.349757105,7.029735571,0.040287177,1
